State,bidenAdvantage
Vermont,35.41265227
South Carolina,-11.68020581
Indiana,-16.06791185
Kentucky,-25.95193971
Georgia,0.28095024
Virginia,10.12905399
West Virginia,-38.94296777
North Carolina,-1.347973226
Ohio,-8.165771459
Massachusetts,32.73490416
Alabama,-25.57192952
Florida,-3.358368897
Delaware,18.98077419
Maryland,32.60535802
District of Columbia,86.63727741
New Hampshire,7.368609477
Mississippi,-18.54113972
Rhode Island,20.70903151
Maine,9.971297294
New Jersey,15.75666406
Oklahoma,-33.08709751
Pennsylvania,1.190840572
Illinois,16.57965643
Connecticut,20.03440918
Missouri,-15.57966008
Tennessee,-23.29695814
Arkansas,-27.62870473
New York,14.26132915
North Dakota,-33.35728638
Colorado,13.50462614
Michigan,2.676700499
Kansas,-15.15149925
Nebraska,-19.08147138
Minnesota,7.115530301
Texas,-5.655315235
New Mexico,10.78726638
Wisconsin,0.623666766
Wyoming,-43.38265315
Louisiana,-18.60942561
Arizona,0.308844616
South Dakota,-26.16413754
Utah,-20.49027029
Montana,-16.31183779
Nevada,2.390534633
Iowa,-8.208563593
Idaho,-30.76711303
Oregon,16.15803468
California,29.47506122
Washington,19.38351892
pres,3.720859403
Hawaii,29.47203839
Alaska,-10.16015543
Maine CD-2,-7.9
Nebraska CD-2,6.8
Nebraska CD-1,-15
Maine CD-1,22.7
Nebraska CD-3,-54.2